BJD_TDB,Flux,Flux_Err,Bkg(ADU),Airmass,Dx(pix),Dy(pix),Peak(ADU),FWHM(pix),GJD_UTC
2460807.8468694715,0.9918564742402362,0.001959055665711682,376.8118270874023,1.2220752,-0.5068960627653569,0.516747305895716,76264.7421875,4.069746655114718,2460807.843598125
2460807.8470487394,0.9930750440180678,0.001958658778590846,372.24014739990236,1.2219063,-0.40898625431838126,0.6009824354929433,76264.7421875,4.083031167344754,2460807.843777396
2460807.847228968,0.9925144428612452,0.0019550117989004536,365.2808868408203,1.2217387,-0.26936463854676074,1.4150960260898813,76264.7421875,4.34772037337446,2460807.843957627
2460807.847409312,0.9934941277539876,0.001951315903561491,357.66597442626954,1.2215643,-0.24017417264401295,0.2673634361340485,76264.7421875,3.8616803107501405,2460807.8441379745
2460807.8475895985,0.9939983339072503,0.001952187118327541,349.9002395629883,1.2213965,-1.4328734095100828,0.8766478434334226,76264.7421875,3.5453407357170543,2460807.8443182637
2460807.8477699896,0.9911657383509339,0.0019446352298248752,344.740983581543,1.2212302,-0.8836791168887395,0.30137956964966883,76264.7421875,4.062882295659925,2460807.8444986576
2460807.847949199,0.9915650703041639,0.0019376627450596112,338.29296417236327,1.2210642,0.11275402835846732,1.122493947667139,76264.7421875,4.34688844667985,2460807.84467787
2460807.848128363,0.9950455423552096,0.0019430373018788005,339.37749633789065,1.2208965,-0.6322878669707798,-0.09661780228569325,76264.7421875,4.190246398769187,2460807.844857037
2460807.848310027,0.9918536997267307,0.001937356170350432,335.18719787597655,1.2207295,-0.5845151213946672,0.39526106333927197,76264.7421875,4.21142808987546,2460807.8450387036
2460807.848490232,0.9923138843584648,0.0019391210544227441,333.4127471923828,1.2205652,-0.2844406659276404,0.5606398761941934,76264.7421875,4.096152658081563,2460807.845218912
2460807.8486709003,0.9901047804675407,0.001940419420216359,336.877294921875,1.2204012,-0.8089415286019246,1.3522100207023757,76264.7421875,3.9102234672701295,2460807.845399583
2460807.8488501916,0.9894068581249524,0.001936898423293067,326.8510223388672,1.2202389,-0.03419829743521095,0.5254304614501392,76264.7421875,3.9250909132541283,2460807.8455788773
2460807.849029251,0.9919439692430202,0.0019365311508562516,323.2384506225586,1.2200774,-0.5433535478472621,0.594234921298626,76264.7421875,3.8843653397971662,2460807.84575794
2460807.849208727,0.9935493238943264,0.0019330532291276382,324.022639465332,1.2199159,-0.13839610511174652,0.19461608644800943,76264.7421875,4.344756113986331,2460807.8459374188
2460807.849387937,0.9913767640430241,0.0019172924809930548,321.8616882324219,1.2197558,1.2509348440470227,-2.166771602699459,76264.7421875,4.994373886720281,2460807.8461166318
2460807.849568328,0.9928998285223328,0.0019209578540260663,322.51371002197266,1.2195929,0.44849496379416814,0.2688931848172362,76264.7421875,4.666289728485352,2460807.8462970257
2460807.849749783,0.9941886368065043,0.0019179105216974451,320.17562713623045,1.2194324,0.6803690813907955,-3.0360379429617637,76264.7421875,4.801824588109605,2460807.8464784836
2460807.84993022,0.9926375967495445,0.0019184050802166827,312.63484649658204,1.2192727,1.6303408592661297,-2.7333159483952865,76264.7421875,4.620540097251074,2460807.8466589237
2460807.850111004,0.9935032440442343,0.0019239997544838942,314.4581024169922,1.2191147,0.322684458099872,-2.448500683429812,76264.7421875,4.412389873842109,2460807.8468397106
2460807.850289936,0.9918078721250958,0.0019146687940070706,315.6513366699219,1.2189561,1.2255872210058045,-2.8542731005690856,76264.7421875,5.274251826739862,2460807.8470186456
2460807.850469794,0.9926920326341568,0.0019204034835129896,313.2916625976562,1.2187996,-0.971346986280352,-0.26606502910210245,76264.7421875,4.509361109885897,2460807.847198507
2460807.8506490043,0.9914972766230727,0.0019180249713219306,310.88903045654297,1.2186445,-0.6063191101213122,-0.18862079632576348,76264.7421875,4.537421279235322,2460807.84737772
2460807.8508283533,0.9897578585731028,0.0019266595863678558,309.16114501953126,1.2184898,-0.1834887709550084,-0.09109760255647145,76264.7421875,4.179724035476458,2460807.8475570716
2460807.8510074476,0.9911500895310542,0.001913159494438213,307.2552856445312,1.2183364,-0.0667946525885888,-0.1116201825823718,76264.7421875,4.596409660664448,2460807.847736169
2460807.851186901,0.9926857063342,0.0019099686612140492,305.93016357421874,1.2181809,2.0595118068325284,-3.607797609015901,76264.7421875,4.614108397191203,2460807.847915625
2460807.8513658214,0.9933544931812247,0.0019102808265408346,304.3184753417969,1.2180286,1.5086126086792233,-2.6499081550383212,76264.7421875,4.561938987631433,2460807.8480945486
2460807.851546281,0.9916628304970184,0.0019070291808592206,302.6995223999023,1.2178771,1.627877421112602,-1.8985200186831748,76264.7421875,4.768322561103048,2460807.8482750114
2460807.851725862,0.9911346107982568,0.001902312575656851,301.38885498046875,1.2177253,1.363462737267032,-2.643763646117364,76264.7421875,4.991236815595608,2460807.848454595
