BJD_TDB,Flux,Flux_Err,Bkg(ADU),Airmass,Dx(pix),Dy(pix),Peak(ADU),FWHM(pix),GJD_UTC
2460807.849027839,0.9918821082329669,0.002004719964806729,212.9060905456543,1.2200774,0.5149213186966768,-1.264712537442468,107869.0390625,3.614289758315215,2460807.845756528
2460807.849207049,0.9937625997013926,0.002000686785192123,211.36516189575195,1.2199159,0.7308157408785851,-1.373479992714762,107869.0390625,4.049817261925567,2460807.8459357405
2460807.849387359,0.9966485211780515,0.0019843258234363555,207.87147064208983,1.2197558,0.8264505279280769,-0.8044504533886577,107869.0390625,4.614724085948388,2460807.8461160534
2460807.849567749,0.9924043341927326,0.0019841645176091943,206.43405685424804,1.2195961,1.324075474154682,-1.3097756969102414,107869.0390625,4.277800575939903,2460807.846296447
2460807.8497495516,0.9932177327621619,0.001981125965957614,203.26395645141602,1.2194324,0.14431480390485577,-1.2163664392850282,107869.0390625,4.449685079455831,2460807.846478252
2460807.849929919,0.9954225452439901,0.001983319970605643,196.73602905273438,1.2192727,0.9817236132204531,-1.369487143972817,107869.0390625,4.214784814098296,2460807.846658623
2460807.850108967,0.9936811271921189,0.0019863728445091,196.14024505615234,1.2191147,-0.20056649720631187,-1.4658805635695864,107869.0390625,4.100789070522352,2460807.846837674
2460807.8502896586,0.9941034314997178,0.001974892164062228,195.7993293762207,1.2189561,0.781381662070931,-1.5884357942414131,107869.0390625,4.8087507012623005,2460807.847018368
2460807.8504684516,0.9949873390603391,0.0019834276681880846,192.62457504272462,1.2188027,0.0645755330258407,-1.9101110204376808,107869.0390625,4.093487178470573,2460807.8471971643
2460807.850647778,0.9941277573550955,0.0019803732839962646,189.9434471130371,1.2186445,0.2778437527492748,-1.791325665688297,107869.0390625,4.159041388986471,2460807.8473764933
2460807.8508269764,0.9940393734784319,0.0019899360443972284,187.61084060668946,1.2184898,-0.19313533270365146,0.019835018643516625,107869.0390625,3.9134242973146356,2460807.8475556946
2460807.851006151,0.994544804447527,0.0019752447402618355,185.17711791992187,1.2183364,0.8460328814242645,-1.4804542872848703,107869.0390625,4.141441605584654,2460807.8477348727
2460807.851185373,0.9920917153561474,0.001969786824600834,183.11068115234374,1.2181809,1.1458642147841673,-1.5698346121644158,107869.0390625,4.2521761871830295,2460807.8479140974
2460807.8513644906,0.992002799744099,0.0019692476873868566,181.01696166992187,1.2180286,1.0036128197544256,-1.5231814257796257,107869.0390625,4.207761967231865,2460807.8480932177
2460807.8515447997,0.9931056018757282,0.001966176912142776,179.0427276611328,1.2178771,1.234638337087795,-0.5938459404453184,107869.0390625,4.335653541077759,2460807.84827353
2460807.8517239406,0.9963617546826201,0.001960973485911485,177.46629104614257,1.2177253,1.0359887572453514,-1.7187761115044824,107869.0390625,4.553152823985038,2460807.8484526738
2460807.851903139,0.9931035189382288,0.001967951622314725,175.4578109741211,1.2175759,1.2585461361758732,-1.6820765760798715,107869.0390625,4.498288801722115,2460807.848631875
2460807.852084976,0.9927984524593443,0.0019664111906484484,173.8772766113281,1.2174239,0.7110557878265741,-1.5587734965159148,107869.0390625,4.579479169734009,2460807.8488137154
2460807.8522639084,0.9952028485881307,0.001972683399172377,172.2400894165039,1.2172745,0.9057599922994107,-0.8574168938810202,107869.0390625,4.227998736993261,2460807.8489926504
2460807.852442262,0.9965970064773366,0.0019851678253361427,170.88029937744142,1.2171249,0.12067122219707328,-1.2941100710943019,107869.0390625,3.5820958781851795,2460807.849171007
2460807.852621437,0.9953293357485029,0.001982319911746935,169.62622451782227,1.2169775,0.04048843600004286,-0.4337846626586195,107869.0390625,3.76931878304451,2460807.849350185
2460807.852800462,0.9910246106675437,0.0019788504947359244,168.42676467895507,1.2168308,0.7579546434730448,-0.35167956095146335,107869.0390625,3.948164986466644,2460807.849529213
2460807.8529786537,0.9917767318155564,0.001981613766667728,167.22303771972656,1.2166822,0.5658949106279768,-0.7999508063735111,107869.0390625,3.9317512249447875,2460807.8497074074
2460807.8531565787,0.9924807326815668,0.001975623905212353,166.08613967895508,1.2165401,1.2882783665734812,-1.721308024570539,107869.0390625,4.017692861635296,2460807.8498853357
2460807.8533345736,0.9914357105997905,0.0019799135283207793,164.78012161254884,1.2163955,0.5642574974939659,-0.7335458789065987,107869.0390625,3.6527689482154746,2460807.8500633333
